iter	RMSE
0	48.70344834
1	46.71622619
2	44.8481455
3	43.02431605
4	41.30922307
5	39.6967644
6	38.19101486
7	36.72485771
8	35.41940541
9	34.13705275
10	33.02574672
11	31.86082384
12	30.76742967
13	29.77516516
14	28.79651907
15	27.88059209
16	27.02679442
17	26.17654762
18	25.39891886
19	24.72680549
20	24.06692378
21	23.44965605
22	22.85033198
23	22.27340517
24	21.75030744
25	21.24563689
26	20.79685118
27	20.40862316
28	20.00129264
29	19.6370124
30	19.28872371
31	18.96824955
32	18.67166062
33	18.39319264
34	18.13905873
35	17.89418196
36	17.66148612
37	17.45890106
38	17.26432838
39	17.07625463
40	16.8960688
41	16.74855972
42	16.59693551
43	16.46135871
44	16.33429383
45	16.20746059
46	16.08630492
47	15.98003662
48	15.85847256
49	15.7686308
50	15.67069491
51	15.57020288
52	15.47735807
53	15.41410723
54	15.31395087
55	15.24887699
56	15.17778219
57	15.11913802
58	15.06456886
59	14.99436188
60	14.94535812
61	14.88936769
62	14.83216302
63	14.78023426
64	14.72720579
65	14.67737969
66	14.63416335
67	14.59124217
68	14.55526132
69	14.52628501
70	14.49275976
71	14.46130235
72	14.42634162
73	14.37398719
74	14.34089259
75	14.31333264
76	14.28685209
77	14.2585618
78	14.22640099
79	14.19158281
80	14.17131908
81	14.14936544
82	14.11275226
83	14.07693598
84	14.06217382
85	14.03800474
86	14.01716926
87	13.99521594
88	13.96338182
89	13.93789369
90	13.91218407
91	13.88617431
92	13.85819616
93	13.83747203
94	13.81164408
95	13.77458567
96	13.74640265
97	13.72621725
98	13.71125362
99	13.68743223
100	13.66995599
101	13.64589183
102	13.63164466
103	13.61149542
104	13.59574022
105	13.58755717
106	13.57000765
107	13.55564918
108	13.52819322
109	13.50261425
110	13.48801761
111	13.46830148
112	13.44417119
113	13.42429297
114	13.41307526
115	13.39883474
116	13.37846969
117	13.3576417
118	13.34572225
119	13.33113547
120	13.31840415
121	13.29806175
122	13.27999976
123	13.26708007
124	13.24707706
125	13.22864707
126	13.2119618
127	13.20344859
128	13.19025408
129	13.17978333
130	13.17086
131	13.14507458
132	13.13085609
133	13.12075971
134	13.11421148
135	13.09630034
136	13.08318067
137	13.07010425
138	13.05782411
139	13.04725436
140	13.03256456
141	13.02177703
142	13.00645143
143	12.99203139
144	12.97803857
145	12.96842472
146	12.95795351
147	12.94896506
148	12.93436677
149	12.92378216
150	12.91068723
151	12.89473057
152	12.88542826
153	12.87372425
154	12.86771705
155	12.85694783
156	12.84978765
157	12.83942772
158	12.8251415
159	12.81470099
160	12.80218907
161	12.79467457
162	12.78434775
163	12.77129614
164	12.75784607
165	12.74429241
166	12.72460013
167	12.71195369
168	12.70082724
169	12.6923476
170	12.68005951
171	12.66861303
172	12.65879766
173	12.64645733
174	12.636738
175	12.6241704
176	12.61577264
177	12.60981283
178	12.6017619
179	12.59020304
180	12.57629245
181	12.56591654
182	12.55128766
183	12.54319724
184	12.52913687
185	12.51965136
186	12.50793365
187	12.49573149
188	12.48500113
189	12.47373404
190	12.46372632
191	12.45469845
192	12.44324626
193	12.43138622
194	12.42528791
195	12.4143986
196	12.40013301
197	12.38601802
198	12.37911617
199	12.37216169
200	12.36150297
201	12.35169472
202	12.34249502
203	12.33694869
204	12.32756605
205	12.31811205
206	12.30670892
207	12.29715321
208	12.2876899
209	12.27930331
210	12.27006492
211	12.25924854
212	12.24749588
213	12.24227344
214	12.2357287
215	12.22388352
216	12.21672898
217	12.2113138
218	12.20595845
219	12.19243521
220	12.18380405
221	12.17796106
222	12.17301679
223	12.16413623
224	12.15727531
225	12.14620897
226	12.13651324
227	12.12841915
228	12.11528129
229	12.10841652
230	12.10081147
231	12.09004393
232	12.07912558
233	12.06572546
234	12.06022015
235	12.05251955
236	12.04518333
237	12.04064909
238	12.03488176
239	12.0246225
240	12.01168633
241	12.00130718
242	11.9966633
243	11.99045931
244	11.98395383
245	11.9754128
246	11.96804059
247	11.95964922
248	11.95308133
249	11.94557535
250	11.93220826
251	11.92309949
252	11.91910805
253	11.91413041
254	11.90528119
255	11.89490939
256	11.88468146
257	11.87423342
258	11.86531019
259	11.85684624
260	11.84822113
261	11.84139325
262	11.83475304
263	11.82384849
264	11.81621337
265	11.80755407
266	11.80190348
267	11.79198661
268	11.78191495
269	11.77712237
270	11.76375759
271	11.75670512
272	11.74719201
273	11.74162976
274	11.73129316
275	11.72389918
276	11.71941738
277	11.71384239
278	11.7030135
279	11.69735981
280	11.69281152
281	11.67975162
282	11.66965513
283	11.6578731
284	11.64405125
285	11.63838911
286	11.62969132
287	11.61866305
288	11.60833414
289	11.5976236
290	11.58811545
291	11.58039141
292	11.57301717
293	11.56440506
294	11.55501784
295	11.5474168
296	11.54307804
