iter	Passed	Remaining
0	147	88596
1	156	46696
2	162	32347
3	169	25254
4	177	21146
5	183	18185
6	188	16005
7	193	14294
8	198	13004
9	201	11909
10	205	11004
11	209	10276
12	212	9615
13	216	9081
14	220	8598
15	224	8183
16	227	7812
17	232	7513
18	236	7245
19	240	6983
20	244	6735
21	248	6516
22	251	6304
23	254	6112
24	258	5941
25	261	5781
26	265	5629
27	268	5485
28	272	5367
29	276	5246
30	279	5134
31	283	5023
32	286	4925
33	290	4828
34	293	4742
35	297	4653
36	300	4569
37	303	4493
38	307	4420
39	310	4346
40	313	4277
41	317	4213
42	320	4154
43	324	4097
44	327	4044
45	331	3992
46	335	3944
47	338	3892
48	341	3842
49	345	3800
50	348	3756
51	352	3710
52	355	3668
53	359	3630
54	362	3591
55	365	3553
56	369	3516
57	372	3480
58	375	3447
59	379	3412
60	382	3381
61	386	3353
62	390	3326
63	393	3295
64	397	3269
65	400	3239
66	403	3207
67	406	3180
68	409	3154
69	413	3130
70	416	3105
71	420	3082
72	423	3057
73	426	3034
74	430	3013
75	433	2990
76	436	2967
77	440	2946
78	443	2925
79	446	2905
80	450	2884
81	453	2863
82	456	2846
83	460	2827
84	463	2809
85	467	2791
86	470	2771
87	474	2759
88	477	2743
89	481	2727
90	484	2711
91	488	2694
92	491	2680
93	495	2664
94	498	2650
95	501	2634
96	505	2622
97	509	2609
98	512	2594
99	516	2581
100	519	2568
101	523	2556
102	527	2545
103	531	2533
104	534	2521
105	539	2512
106	543	2503
107	546	2490
108	550	2480
109	554	2467
110	557	2455
111	560	2443
112	564	2432
113	567	2420
114	570	2407
115	574	2395
116	577	2384
117	580	2372
118	584	2360
119	587	2348
120	590	2337
121	593	2327
122	597	2317
123	600	2306
124	604	2296
125	607	2285
126	610	2275
127	614	2265
128	617	2255
129	620	2244
130	624	2235
131	627	2225
132	630	2215
133	634	2205
134	637	2196
135	641	2188
136	644	2179
137	648	2172
138	652	2163
139	655	2153
140	659	2146
141	662	2137
142	666	2128
143	669	2120
144	673	2111
145	676	2102
146	679	2094
147	682	2085
148	686	2076
149	689	2068
150	692	2060
151	696	2051
152	699	2043
153	703	2036
154	706	2029
155	710	2022
156	713	2013
157	716	2005
158	720	1998
159	724	1991
160	727	1984
161	731	1976
162	734	1969
163	738	1962
164	741	1954
165	744	1945
166	747	1937
167	750	1930
168	753	1922
169	757	1915
170	760	1907
171	763	1900
172	767	1893
173	770	1886
174	773	1879
175	777	1873
176	781	1866
177	784	1860
178	788	1854
179	791	1847
180	795	1840
181	798	1834
182	802	1827
183	805	1820
184	808	1814
185	811	1807
186	815	1800
187	818	1794
188	821	1787
189	825	1781
190	828	1774
191	831	1767
192	835	1761
193	838	1754
194	842	1748
195	845	1742
196	848	1736
197	851	1729
198	855	1723
199	859	1718
200	862	1712
201	866	1706
202	869	1699
203	872	1693
204	876	1688
205	880	1683
206	884	1679
207	887	1673
208	891	1667
209	895	1662
210	898	1656
211	902	1650
212	905	1644
213	908	1638
214	911	1633
215	915	1627
216	918	1621
217	921	1615
218	925	1609
219	928	1603
220	931	1597
221	935	1592
222	938	1586
223	942	1581
224	945	1576
225	949	1570
226	952	1565
227	956	1559
228	959	1554
229	963	1549
230	966	1544
231	970	1538
232	973	1533
233	977	1528
234	980	1523
235	984	1517
236	987	1512
237	991	1507
238	993	1501
239	997	1496
240	1001	1491
241	1004	1486
242	1008	1480
243	1011	1475
244	1014	1470
245	1018	1465
246	1021	1460
247	1025	1455
248	1028	1450
249	1032	1444
250	1035	1439
251	1038	1434
252	1042	1429
253	1045	1424
254	1049	1419
255	1052	1414
256	1056	1409
257	1059	1404
258	1063	1400
259	1067	1395
260	1070	1390
261	1073	1385
262	1077	1380
263	1081	1376
264	1084	1371
265	1088	1366
266	1091	1361
267	1095	1356
268	1098	1351
269	1102	1347
270	1105	1342
271	1109	1337
272	1112	1332
273	1115	1327
274	1119	1322
275	1122	1318
276	1126	1313
277	1129	1308
278	1132	1303
279	1136	1298
280	1140	1294
281	1143	1289
282	1147	1285
283	1151	1281
284	1155	1276
285	1158	1272
286	1162	1267
287	1165	1263
288	1169	1258
289	1173	1254
290	1177	1249
291	1180	1245
292	1183	1240
293	1187	1235
294	1190	1231
295	1194	1226
296	1197	1221
